Name,alternateName,sowInstructions,spaceInstructions,harvestInstructions,compatiblePlants,avoidInstructions,culinaryHints,culinaryPreservation,url
Brussels sprouts,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 45°F and 86°F. (Show °C/cm)",Space plants: 18 - 24 inches apart,Harvest in 14-28 weeks. Pick sprouts when small. .,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",Remove any discoloured outer leaves. Cut in half and steam with other vegetables. Do not overcook as that produces the distinctive smell that puts people off eating Brussels sprouts! They go well with a chopped tomato and onion mix.Traditionally served with roasted chestnuts for Xmas dinner in UK.,,http://gardenate.com/plant/Brussels%2Bsprouts
Burdock,Gobo (Japanese Burdock),Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 24 inches apart,Harvest in 17-18 weeks.,Compatible with (can grow beside): Best grown in separate bed.,,"Harvest in the first year when the burdock root is very crisp and has a sweet, mild, and pungent flavour with a little muddy harshness that can be reduced by soaking julienne/shredded roots in water for five to ten minutes. Immature flower stalks may also be harvested in late spring, before flowers appear; the taste resembles that of artichoke, to which the burdock is related. It is a key ingredient in the traditional Dandelion and Burdock beer.",,http://gardenate.com/plant/Burdock
Cabbage,,"Easy to grow. Grow in seed trays, and plant out in 4 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 41°F and 64°F. (Show °C/cm)",Space plants: 20 - 30 inches apart,Harvest in 11-15 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, thyme)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard, parsnip","Young spring cabbage can be chopped and added to salad greens. Steaming preserves the goodness and flavour of cabbage. Can also be used in stir-fry. Red cabbage chopped and cooked with brown sugar, red wine, onions, vinegar and stock is served with boiled bacon or pork.",,http://gardenate.com/plant/Cabbage
Cape Gooseberry,"Golden Berry, Inca Berry",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in 14-16 weeks.,Compatible with (can grow beside): Will happily grow in a flower border,,"The berry is the size of a cherry tomato, is very aromatic and full of tiny seeds. They are delicious eaten fresh or can be made into jam. They can be added to salads, desserts and cooked dishes, they are delicious stewed with other fruit, especially apples. They also go well in savoury dishes with meat or seafood.",Can be preserved dried.,http://gardenate.com/plant/Cape%2BGooseberry
Capsicum,"Bell peppers, Sweet peppers","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 95°F. (Show °C/cm)",Space plants: 8 - 20 inches apart,Harvest in 10-12 weeks. Cut fruit off with sharp knife.,"Compatible with (can grow beside): Egg plant (Aubergine), Nasturtiums, Basil, Parsley, Amaranth",,"Can be sliced and seeded and used raw in salads. Or brush with olive oil, roast at a high temperature until the skin changes colour then put in a covered dish until cool and rub off the skin and remove seeds.",Will freeze successfully without blanching if seeded and sliced.,http://gardenate.com/plant/Capsicum
Cardoon,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 55°F and 77°F. (Show °C/cm)",Space plants: 20 - 59 inches apart,Harvest in 34-35 weeks.,Compatible with (can grow beside): Best grown in separate bed.,,"Cut off the base and leaves, then cut the stalks into pieces. Boil the stalks for around 20 minutes until tender: drain, and peel off the surface of the stalks. Add precooked cardoons to a variety of dishes, they go well with mushrooms.",,http://gardenate.com/plant/Cardoon
Carrot,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 2 - 12 inches apart,Harvest in 12-18 weeks.,"Compatible with (can grow beside): Onions, Leeks, Lettuce, Sage, Peas, Radishes, Tomatoes, Beans, Celery, Rosemary","Avoid growing close to: Parsnips, Beetroot, Dill, Brassicas, Fennel",Steamed or raw carrots are tasty. Cook them in a small amount of water until nearly dry then add a pat of butter and teasp of brown sugar to glaze. They can be added to most casserole-type dishes. Grate raw carrots and add to salads,,http://gardenate.com/plant/Carrot
Cauliflower,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm)",Space plants: 24 - 39 inches apart,Harvest in 15-22 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",Cauliflower can be steamed. Young ones can be broken into small pieces and added raw to salad. Cook briefly and add to curry mix. Traditionally served with cheese sauce. Add tomato slices for colour.,,http://gardenate.com/plant/Cauliflower
Celeriac,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 70°F. (Show °C/cm)",Space plants: 18 - 31 inches apart,Harvest in 14-28 weeks.,"Compatible with (can grow beside): Beans, brassicas, carrots, leeks, lettuce, peas, sage, tomatoes, onions",,"Cook whole, scrubbed and peeled. Or slice or dice.Tastes like celery.",,http://gardenate.com/plant/Celeriac
Celery,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 54°F and 70°F. (Show °C/cm)",Space plants: 6 - 12 inches apart,Harvest in 17-18 weeks.,Compatible with (can grow beside): Not applicable as celery needs to be close together to encourage blanching.,Avoid growing close to: Sweetcorn,Chop and use raw in salad or braised in hot dishes.,,http://gardenate.com/plant/Celery
Chicory,"Witloof, Belgian endive",Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 10 - 12 inches apart,Harvest in 16-24 weeks. Will need forcing before final harvest.,"Compatible with (can grow beside): Carrots, onions, Florence fennel, tomatoes.",,Good in salads. Grill lightly with butter. Bake with ham and cheese.,,http://gardenate.com/plant/Chicory
Chilli peppers,Hot peppers,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 64°F and 95°F. (Show °C/cm)",Space plants: 16 - 20 inches apart,Harvest in 9-11 weeks. Wear gloves to pick 'hot' chilies.,Compatible with (can grow beside): Best grown in a separate bed as chillis need plenty of light and air circulation.,,"Wash, dry, and free whole. Use them direct from the freezer (no need to defrost). Wear plastic gloves or wash your hands thoroughly after handling and cutting to avoid accidentally rubbing chilli juice onto your mouth or eyes!",Will freeze well.,http://gardenate.com/plant/Chilli%2Bpeppers
Chinese cabbage,"Wong bok, wong nga pak",Easy to grow. Sow direct in the garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 12 inches apart,Harvest in 8-10 weeks. Harvest whole head or you can take a few leaves at a time.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile, coriander), lettuce, potatoes","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",Use in stir-fry . Has a milder flavour than regular cabbage.Shred the inner leaves and stems to use in coleslaw salad.,,http://gardenate.com/plant/Chinese%2Bcabbage
Chives,Garden chives,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 2 inches apart,Harvest in 7-11 weeks.,"Compatible with (can grow beside): Carrots, Tomatoes, Parsley, Apples",,Use raw in salads or as a mild onion flavour in cooked dishes.,,http://gardenate.com/plant/Chives
Choko/Chayote,"Chayote squash, christophene, chouchou, mirliton",Easy to grow. Plant whole mature fruit when one produces a shoot at one end.. Best planted at soil temperatures between 59°F and 86°F. (Show °C/cm),Space plants: 39 inches apart,Harvest in approximately 17 weeks. Best when fruit is light green and not more than 6cm long.,Compatible with (can grow beside): Cucumbers,,"Chokos can be peeled and chopped to use in stews, soup or as a stir fry vegetable. Cooked or raw, it has a very mild flavour and is commonly served with seasonings e.g., salt, butter and pepper or in a dish with other vegetables and/or flavourings. It can also be boiled, stuffed, mashed or pickled",,http://gardenate.com/plant/Choko~Chayote
Climbing beans,"Pole beans, Runner beans, Scarlet Runners",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),Space plants: 4 - 8 inches apart,Harvest in 9-11 weeks.,"Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry, cucumbers, zucchini, tagates minuta (wild marigold)","Avoid growing close to: Alliums (Chives, leek, garlic, onions), Florence fennel",Use young in salads - blanch and cool.,Will freeze well.,http://gardenate.com/plant/Beans%2B-%2Bclimbing
Collards,"Collard greens, Borekale","Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 16 - 20 inches apart,Harvest in 8-11 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chili, capsicum), eggplant (aubergine), strawberry, mustard",Slice and steam or use in stir-fry,,http://gardenate.com/plant/Collards
Coriander,"Cilantro, Chinese parsley",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: Thin to 18 inches,Harvest in 30-45 days.,"Compatible with (can grow beside): Dill, Chervil, Anise, Cabbages, Carrots",Avoid growing close to: Fennel,Use the leaves to flavour hot meals or add fresh to salads.,The seeds can be dried and ground up for curries.,http://gardenate.com/plant/Coriander
Corn Salad,Lamb's lettuce or Mache,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 4 - 6 inches apart,Harvest in 5-8 weeks.,Compatible with (can grow beside): Onions,,Pick individual leaves or harvest the whole plant as required,,http://gardenate.com/plant/Corn%2BSalad
Cowpeas,"Black eye peas, Southern peas",Easy to grow. When soil begins to warm up. After frosts finish.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 95°F. (Show °C/cm),Space plants: Rows 1 Metre apart,Harvest in 11-14 weeks.,,,Young leaves can be cooked and used like spinach and are very high in protein. The young pods are edible.,,http://gardenate.com/plant/Cowpeas
Cucumber,,Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 95°F. (Show °C/cm),Space plants: 16 - 24 inches apart,Harvest in 8-10 weeks. Cut fruit off with scissors or sharp knife.,"Compatible with (can grow beside): Nasturtiums, Beans, Celery, Lettuce, Sweet Corn, Cabbages, Sunflowers, Coriander, Fennel, Dill, Sunflowers","Avoid growing close to: Potato, Tomatoes","Pick frequently before the fruit become too big. Use raw in salads, peeled if preferred.",,http://gardenate.com/plant/Cucumber
Daikon,"Japanese radish, Lo Bok",Easy to grow. Direct in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 6 inches apart,Harvest in 8-10 weeks. Dig daikon carefully. They are rather brittle..,"Compatible with (can grow beside): Chervil, cress,lettuce, leeks, spinach, strawberries, tomatoes","Avoid growing close to: Gherkins, hyssop","Daikon radish can be eaten simmered, stir fried, grated, pickled or baked. Its leaves are also edible and can be used in recipes that call for turnip greens, and its seeds make sprouts to eat in salads or in sandwiches.",,http://gardenate.com/plant/Daikon
Dill,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 68°F. (Show °C/cm),Space plants: 6 inches apart,Harvest in 8-12 weeks. Use leaves before flowering.,"Compatible with (can grow beside): Cabbage, Coriander, Fennel, tomatoes, broccoli",,"Dill leaves can be used fresh or dried in salads, meats, vegetable dishes and soups. Freshly cut leaves enhance the flavour of dips, herb butter, soups, salads, fish dishes, and salads. Both the flowering heads and seeds are used in flavoured vinegars and oils. Used whole or ground, the seeds add zest to bread, cheese, and salad dressing.",,http://gardenate.com/plant/Dill
Dwarf beans,"French beans, Bush beans",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 61°F and 86°F. (Show °C/cm),Space plants: 2 - 6 inches apart,Harvest in 7-10 weeks. Pick often to encourage more flower production.,"Compatible with (can grow beside): Sweetcorn, spinach, lettuce, summer savory, dill, carrots, brassicas, beets, radish, strawberry and cucumbers, tagates minuta (wild marigold)","Avoid growing close to: Alliums (Chives, leek, garlic, onions) Sunflower","Can be used in salads when young, blanched and cooled.",Will freeze well.,http://gardenate.com/plant/Beans%2B-%2Bdwarf
Eggplant,Aubergine,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 75°F and 90°F. (Show °C/cm)",Space plants: 24 - 30 inches apart,Harvest in 12-15 weeks. Cut fruit with scissors or sharp knife.,"Compatible with (can grow beside): Beans, capsicum, lettuce, amaranth, thyme",Avoid growing close to: Potatoes,"Cut and use the same day if possible. Slice, no need to peel, and fry in olive oil.  Brush with oil and grill or bake. Or microwave,plain, for about 4 minutes on high. Makes a good substitute for pasta in lasagne or moussaka. Can be smoked over a gas ring or barbecue, cooled and peeled and used to make dips.",,http://gardenate.com/plant/Eggplant
Endive,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 59°F and 77°F. (Show °C/cm),Space plants: 8 - 12 inches apart,Harvest in 10-11 weeks.,"Compatible with (can grow beside): beans, brassicas, carrots, cucumbers, chervil, sage.",Avoid growing close to: Alliums (garlic and onions),"Very tasty topped with grated swiss cheese and grilled for a couple of minutes to crisp up the cheese and wilt the leaves. Can use in salads additional to lettuce, but needs a flavoursome dressing if you aren't overly fond of bitterness.",,http://gardenate.com/plant/Endive
Fennel,Bronze fennel,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: Thin to 12 inches,Harvest in 14-15 weeks.,Compatible with (can grow beside): Best grown away from vegetables,,Cut off leaves as required Use leaves fresh or dried . Particularly good with fish. The seeds can be used in pickling mixes.,,http://gardenate.com/plant/Fennel
French tarragon,,Plant cuttings or root division. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 16 - 24 inches apart,Harvest in 30-40 days. Pick leaves when young for best flavour.,Compatible with (can grow beside): Aubergine (Eggplant) and Capsicum (Peppers),,"Tarragon goes well with fish, pork, beef, poultry, game, potatoes, tomatoes, carrots, and most vegetables.Â Tarragon can be used in cream sauces, herbed butters and vinegars, soups, sour creams, and yogurt. However, it can be overpowering in large amounts.",,http://gardenate.com/plant/French%2Btarragon
Garlic,,Easy to grow. Plant cloves. Best planted at soil temperatures between 50°F and 95°F. (Show °C/cm),Space plants: 4 - 5 inches apart,Harvest in 17-25 weeks.,"Compatible with (can grow beside): Beets, Carrots, Cucumbers, Dill, Tomatoes, Parsnips","Avoid growing close to: Asparagus, Beans, Brassicas, Peas, Potatoes",Cut the growing shoots or use the entire young garlic plants as 'garlic greens' in stirfry.,,http://gardenate.com/plant/Garlic
Ginger,,Plant pieces of fresh root showing signs of shoots. Best planted at soil temperatures between 20°C and 30°C. (Show °F/in),Space plants: 15 cm apart,Harvest in approximately 25 weeks. Reduce water as plant dies back to encourage rhizome growth.,Compatible with (can grow beside): Grow in separate bed,,"Use in any recipes requiring fresh ginger. Widely used in Asian cooking, it is hot without the 'burn' of chilli.  "," Ginger root freezes well either whole or grated, and can be used direct from the freezer in most recipes requiring fresh ginger.",http://gardenate.com/plant/Ginger
Horseradish,,Easy to grow. Plant root pieces. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 20 inches apart,Harvest in 16-24 weeks. Some improvement in flavour if left till after frost..,Compatible with (can grow beside): Best kept separate,,"Strong, spicy flavour traditionally used with roast beef. Used grated for horseradish sauce or horseradish cream",,http://gardenate.com/plant/Horseradish
Jerusalem Artichokes,Sunchoke,"Easy to grow. Plant tubers about 5cm (1.5"") deep.. Best planted at soil temperatures between 46°F and 59°F. (Show °C/cm)",Space plants: 12 - 18 inches apart,Harvest in 15-20 weeks.,"Compatible with (can grow beside): Tomatoes, cucumbers",,"Scrape clean or peel (add a tsp of lemon or vinegar to the water to stop the tubers browning). Steam, boil, or use in artichoke soup (make with artichokes and some stock). Caution - because they contain 'resistent starch' Jerusalem Artichokes are a great promoter of flatulence in some individuals.",,http://gardenate.com/plant/Jerusalem%2BArtichokes
Kale,Borecole,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 20 - 39 inches apart,Harvest in 7-9 weeks.,"Compatible with (can grow beside): Dwarf (bush) beans, beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, camomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard",Strong flavoured and nutritious vegetable. Wash well and chop finely then steam. A tomato or cheese sauce will mask the flavour if too strong.,,http://gardenate.com/plant/Kale
Kohlrabi,,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm),Space plants: 4 - 10 inches apart,Harvest in 7-10 weeks.,"Compatible with (can grow beside): Beets, celery, cucumber, onions, marigold, nasturtium, rhubarb, aromatic herbs (sage, dill, chamomile)","Avoid growing close to: Climbing (pole) beans, tomato, peppers (chilli, capsicum), eggplant (aubergine), strawberry, mustard","Use when young. Scrub well, cut off leaf stalks, roots and woody parts. Young ones do not need peeling. Can be grated raw for salads or cut in pieces and steam. Use in casseroles.",,http://gardenate.com/plant/Kohlrabi
Leeks,,"Easy to grow. Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 46°F and 86°F. (Show °C/cm)",Space plants: 4 - 8 inches apart,Harvest in 15-18 weeks. Loosen with a fork rather than pull by hand..,Compatible with (can grow beside): Carrots,,"Trim off the roots and any damaged leaves. Young ones can be used whole with some of the green leaves. Wash thoroughly as the earth tends to get inside. Chop and fry in butter (or olive oil) until tender. Can be added to casserole meals, allowing time to cook through. Leek and mushroom make a tasty combination for a tart filling.",,http://gardenate.com/plant/Leeks
Lemon Balm,Sweet balm,Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 77°F. (Show °C/cm),Space plants: 10 inches apart,Harvest in 8-10 weeks. Cut back tall stems to prevent flowering.,Compatible with (can grow beside): Good to attract bees,,"As a herb tea or added to fruit punch. Can be used to replace lemon, used sparingly, in desserts and with stewed fruit. Chop leaves into salad. Better used fresh than dried.",,http://gardenate.com/plant/Lemon%2BBalm
Lettuce,,"Easy to grow. Sow in garden, or start in seed trays and plant out in 4-6 weeks.. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 8°C and 27°C. (Show °F/in)",Space plants: 20 - 30 cm apart,Harvest in 8-12 weeks.,"Compatible with (can grow beside): Carrots, Onions, Strawberries, Beets, Brassicas, Radish, Marigold, Borage, Chervil, Florence fennel, leeks.","Avoid growing close to: Parsley, Celery","Wash well, spin or shake dry and use in salads and sandwiches",,http://gardenate.com/plant/Lettuce
Luffa,"Loofah, plant sponge","Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 86°F. (Show °C/cm)",Space plants: 18 - 30 inches apart,Harvest in 11-12 weeks. Use as a back scratcher.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,The luffa flowers and fruits are soft and edible when young and are sometimes cooked and eaten like squash or okra. Loofah has been an important food source in many Asian cultures. The leaves and vines should not be eaten.,,http://gardenate.com/plant/Luffa
Marrow,,"Grow in seed trays, and plant out in 4-6 weeks. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 68°F and 95°F. (Show °C/cm)",Space plants: 35 - 47 inches apart,Harvest in 12-17 weeks.,"Compatible with (can grow beside): Peas, Beans, Onions, Sweetcorn",Avoid growing close to: Potatoes,"Good, cut in thick slices, seeds removed and stuffed with mince or spicy vegetable mix then baked in the oven",,http://gardenate.com/plant/Marrow
Mint,Garden mint,Easy to grow. Grow in trays and plant out or start from cuttings. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 70°F and 75°F. (Show °C/cm),Space plants: 12 inches apart,Harvest in 8-12 weeks. Cut leaves from top with scissors.,"Compatible with (can grow beside): Cabbages, Tomatoes",,Mint adds a fresh flavour if chopped and sprinkled over salads. And is traditionally used mixed with vinegar and sugar to make mint sauce for lamb.,,http://gardenate.com/plant/Mint
Mizuna,"Japanese Greens, Mitzuna, Mibuna",Easy to grow. Sow in garden. Sow seed at a depth approximately three times the diameter of the seed. Best planted at soil temperatures between 50°F and 86°F. (Show °C/cm),Space plants: 6 - 8 inches apart,Harvest in 35-50 days.,"Compatible with (can grow beside): Radish, lettuce",,"Leaves used raw, stir-fried, in soups. Young flowering stems can be cooked like broccoli.",,http://gardenate.com/plant/Mizuna
